,Process,Accepted,Inclusion_Rate,Adaptation_Rate,Cost,Frequency,Purchased,Rides,Ending_Position,Starting_Position,Value
6191,International Initiative Service,0,77,87,290.688,868,904.3,39.5,"[40.76633835, -73.96105194]","[40.73940659, -74.00189972]",29
6192,International Initiative Service,1,34,37,411.808,891,632.75,8.5,"[40.68455124, -73.97881317]","[40.71905518, -74.00878143]",42
6193,International Initiative Service,0,59,36,72.672,676,477.35,36.5,"[40.68840027, -73.99584961]","[40.73115158, -74.00284576]",32
6194,International Initiative Service,1,28,73,436.032,843,396.25,24,"[40.75920105, -73.97023773]","[40.76694107, -73.95365143]",52
6195,International Initiative Service,0,47,27,109.008,214,984.55,32,"[40.73636627, -73.98124695]","[40.72400284, -73.99771118]",50
6196,International Initiative Service,0,89,60,339.136,567,406.65,2,"[40.73819733, -73.98422241]","[40.75932312, -73.99577332]",23
6197,International Initiative Service,1,95,58,302.8,105,782.9,14,"[40.77349854, -73.95168304]","[40.751945500000005, -73.97713470000001]",41
6198,International Initiative Service,0,88,0,109.008,566,400.8,8,"[40.75810623, -73.9728241]","[40.75133133, -73.98229218]",35
6199,International Initiative Service,0,9,44,157.456,315,557.4,41,"[40.72859192, -73.99854279]","[40.75986481, -73.97226715]",48
6200,International Initiative Service,0,57,36,484.48,665,311.45,5,"[40.71220016, -73.95133209]","[40.72153854, -73.9890213]",56
6201,International Initiative Service,1,29,69,121.12,97,232.65,6.5,"[40.73482132, -73.98304749]","[40.78488159, -73.97921753]",53
6202,International Initiative Service,1,17,41,448.144,316,590.35,32,"[40.72790527, -73.99918365]","[40.74933243, -73.97954559]",28
6203,International Initiative Service,0,46,9,532.928,251,513.05,37.5,"[40.76155853, -73.97261047]","[40.78263092, -73.94828033]",36
6204,International Initiative Service,1,20,21,181.68,833,979.25,4.5,"[40.79670715, -73.97093964]","[40.79120636, -73.96520996]",39
6205,International Initiative Service,0,55,84,460.256,41,529.1,35.5,"[40.76136017, -73.98381042]","[40.76848221, -73.95570374]",35
6206,International Initiative Service,0,65,87,254.352,128,340.75,23,"[40.73423004, -73.98980713]","[40.71217346, -73.96391296]",32
6207,International Initiative Service,0,17,15,84.784,520,461.2,1,"[40.77375793, -73.87052917]","[40.75014114, -73.97733307]",42
6208,International Initiative Service,1,63,47,448.144,77,24.35,21.5,"[40.74381256, -73.98931122]","[40.71595764, -74.00466919]",29
6209,International Initiative Service,1,27,88,48.448,622,317.05,28,"[40.77069855, -73.94874573]","[40.72890854, -73.98139191]",58
6210,International Initiative Service,0,71,83,12.112,438,962.4,40.5,"[40.75789261, -73.97076416]","[40.73976898, -73.97940063]",20
6211,International Initiative Service,0,92,79,205.904,889,834.3,10,"[0.0, 0.0]","[40.77806854, -73.95677185]",47
6212,International Initiative Service,1,41,17,12.112,334,380,11.5,"[40.7470932, -73.98554993]","[40.75052643, -73.99082947]",36
6213,International Initiative Service,0,72,42,96.896,366,516.1,23,"[40.75366211, -73.9664917]","[40.77350235, -73.95992279]",43
6214,International Initiative Service,1,16,38,254.352,347,606.25,2.5,"[40.74251938, -73.99954987]","[40.75093842, -73.99031067]",28
6215,International Initiative Service,1,25,17,460.256,587,218.45,1,"[40.75553894, -73.97975159]","[40.74243927, -73.99676514]",60
6216,International Initiative Team,1,22,43,24.224,712,105.35,37,"[40.73180008, -73.98390961]","[40.76081085, -73.96105194]",22
6217,International Initiative Team,1,4,62,169.568,417,440.2,21,"[40.80495834, -73.93888855]","[0.0, 0.0]",28
6218,International Initiative Team,1,89,29,363.36,159,921.55,18,"[40.70491791, -74.0172348]","[40.72389221, -73.99133301]",36
6219,International Initiative Team,0,51,59,520.816,226,955.7,16,"[40.76177216, -73.97306061]","[40.74432373, -73.98726654]",47
6220,International Initiative Team,0,77,89,36.336,590,510.1,10.5,"[40.76234055, -73.98079681]","[40.75571823, -73.9729538]",54
6221,International Initiative Team,0,62,24,242.24,504,728.05,22.5,"[40.74871063, -73.973526]","[40.73940659, -74.00189972]",23
6222,International Initiative Team,1,9,40,532.928,547,379.4,37.5,"[40.76013565, -73.97584534]","[40.71966934, -73.99803162]",43
6223,International Initiative Team,1,34,56,532.928,566,737.8,10.5,"[40.73403168, -73.99907684]","[40.78190994, -73.95574188]",36
6224,International Initiative Team,0,81,42,84.784,411,376.65,37,"[40.75725174, -73.96369934]","[40.71998978, -73.9940567]",43
6225,International Initiative Team,1,33,37,436.032,484,160.05,12.5,"[40.72816086, -73.99926758]","[40.74973679, -73.99120331]",47
6226,International Initiative Team,1,28,99,472.368,275,16.5,13,"[40.77423096, -73.96350861]","[40.71915817, -73.98174286]",42
6227,International Initiative Team,1,82,8,399.696,683,118.3,44.5,"[40.74715042, -73.98383331]","[40.64518356, -73.78082275]",28
6228,International Initiative Team,0,67,94,266.464,91,624.65,5,"[40.75590134, -73.97518921]","[40.78190994, -73.95574188]",31
6229,International Initiative Team,1,63,32,399.696,164,276.45,39,"[40.76462936, -73.91187286]","[40.72890854, -73.98139191]",36
6230,International Initiative Team,0,12,9,12.112,95,423.2,44.5,"[40.74345016, -73.97289276]","[40.79120636, -73.96520996]",38
6231,International Initiative Team,1,94,67,266.464,884,376.85,28.5,"[40.74932098, -73.98805237]","[40.75381088, -73.98825836]",25
6232,International Initiative Team,0,56,45,84.784,802,625.7,22.5,"[40.773151399999996, -73.97837067]","[40.7715683, -73.95090485]",51
6233,International Initiative Team,1,22,76,436.032,286,950.95,2.5,"[40.68840027, -73.99584961]","[40.79247284, -73.94605255]",32
6234,International Initiative Team,1,72,4,266.464,865,438.5,5.5,"[40.777980799999995, -73.94556427]","[40.77607727, -73.9622345]",59
6235,International Initiative Team,0,43,29,12.112,557,962.25,20.5,"[40.76251984, -73.97697449]","[40.72114182, -74.00994873]",22
6236,International Initiative Team,0,45,64,339.136,97,923.8,42.5,"[40.76977158, -73.99504089]","[40.75522232, -73.99271393]",32
6237,International Initiative Team,1,32,14,484.48,584,253.15,44,"[40.75434875, -73.96577454]","[40.751945500000005, -73.97713470000001]",31
6238,International Initiative Team,1,83,79,12.112,864,500.2,27.5,"[40.68840027, -73.99584961]","[40.74461365, -73.97942352]",34
6239,International Initiative Team,1,82,52,242.24,828,479.85,31.5,"[40.71307373, -74.01493073]","[40.7399559, -74.00505066]",33
6240,International Initiative Team,1,40,32,375.472,595,507,22.5,"[40.7985878, -73.97141266]","[40.77375412, -73.87276459]",52
6241,International Initiative Team,1,59,21,48.448,180,843.05,10.5,"[40.72024155, -74.01009369]","[40.75032806, -73.97471619]",59
6242,International Initiative Team,0,57,30,230.128,41,708.7,15.5,"[40.75920105, -73.97023773]","[40.71217346, -73.96391296]",23
6243,International Initiative Team,0,7,84,314.912,695,30.45,23.5,"[40.78858185, -73.94892883]","[40.78794098, -73.97458649]",31
6244,International Investment Group,0,66,98,121.12,521,594.2,21,"[40.75299072, -73.97921753]","[40.78523636, -73.96937561]",59
6245,International Investment Group,0,92,30,314.912,204,466.1,44.5,"[40.75725174, -73.96369934]","[40.80292892, -73.93352509]",21
6246,International Investment Group,0,69,13,84.784,264,223.05,38,"[40.75608063, -73.97059631]","[40.71841049, -74.01052094]",35
6247,International Investment Group,0,70,70,314.912,31,583.25,11.5,"[40.7385025, -73.99201202]","[40.79120636, -73.96520996]",48
6248,International Investment Group,1,3,59,157.456,128,581.8,6,"[40.72399521, -73.99676514]","[40.75032806, -73.97471619]",36
6249,International Investment Group,1,80,44,169.568,743,888.9,12.5,"[40.75434875, -73.96577454]","[40.72864151, -74.00275421]",22
6250,International Investment Group,0,4,49,60.56,112,505.05,35,"[0.0, 0.0]","[40.751945500000005, -73.97713470000001]",40
6251,International Investment Group,0,70,23,387.584,316,948.25,15.5,"[40.73403168, -73.99907684]","[40.77375412, -73.87276459]",35
6252,International Investment Group,0,17,27,181.68,260,930.5,31.5,"[40.66745377, -73.96108246]","[40.72890854, -73.98139191]",25
6253,International Investment Group,0,20,64,24.224,876,961.7,33,"[40.83986664, -73.93864441]","[40.71480942, -74.01625061]",57
6254,International Investment Group,1,81,81,423.92,729,953.35,1.5,"[40.75888824, -73.98856354]","[40.76701736, -73.95657349]",23
6255,International Investment Group,1,84,92,96.896,390,632,9,"[40.64691162, -73.78704834]","[40.75671387, -73.99394226]",44
6256,International Investment Group,1,97,82,532.928,643,349.6,31.5,"[40.76686096, -73.98344421]","[40.74909973, -73.97567749]",50
6257,International Investment Group,0,64,70,121.12,695,366.6,30,"[40.8655777, -73.92076874]","[40.73851013, -73.99958038]",46
6258,International Investment Group,0,58,21,484.48,397,821,34.5,"[40.76989365, -73.98430634]","[40.75286102, -73.93270874]",31
6259,International Investment Group,0,100,60,205.904,532,761.05,6,"[40.75371552, -73.98148346]","[40.78133011, -73.96062469]",43
6260,International Investment Group,1,7,85,327.024,758,730.1,40,"[40.75115967, -73.99086761]","[40.74933243, -73.97954559]",35
6261,International Investment Group,0,80,86,157.456,873,899.2,23,"[40.76815033, -73.95645142]","[40.7796402, -73.98082733]",22
6262,International Investment Group,0,43,74,436.032,751,470.6,39,"[40.76314163, -73.91349029999999]","[40.67211533, -73.95303345]",41
6263,International Investment Group,1,64,79,460.256,771,113.95,4.5,"[40.66745377, -73.96108246]","[40.7342186, -73.99903107]",50
6264,International Investment Group,1,39,54,60.56,370,70.2,10.5,"[40.7385025, -73.99201202]","[40.77469635, -73.98210144]",32
6265,International Investment Group,1,100,72,351.248,662,193.5,41.5,"[40.73482132, -73.98304749]","[40.71857834, -73.99199677]",40
6266,International Investment Group,1,63,46,72.672,635,495.9,20,"[40.74143982, -73.9937973]","[40.75770187, -73.98223877]",27
6267,International Investment Group,0,78,53,387.584,419,772.55,39.5,"[40.76414871, -73.99214935]","[40.71913147, -74.00708771]",31
6268,International Investment Group,1,53,37,266.464,305,639.9,42,"[40.74930954, -73.99221039]","[40.71841049, -74.01052094]",33
6269,International Investment Group,1,11,83,448.144,864,400.4,9.5,"[40.76163864, -73.96833038]","[40.76948929, -73.95172882]",57
6270,International Investment Group,0,61,87,375.472,422,678,37.5,"[40.7985878, -73.97141266]","[40.74409103, -73.99575043]",31
6271,International Investment Group,0,87,91,375.472,252,191.95,12,"[40.75611877, -73.99060059]","[40.72471619, -73.98733521]",51
6272,International Investment Group,0,49,13,520.816,589,241.65,28,"[40.74216461, -74.00228882]","[40.72389603, -73.99834442]",40
6273,International Investment Group,1,48,97,472.368,61,981.15,21.5,"[40.72632599, -73.93797302]","[40.74510574, -73.97876740000001]",41
6274,International Investment Group,0,69,77,242.24,769,839.1,12.5,"[40.78369141, -73.97364807]","[40.75381088, -73.98825836]",26
6275,International Investment Group,0,79,41,472.368,504,83.85,17,"[40.72169876, -73.98896027]","[40.76044846, -73.99504089]",50
6276,International Investment Group,0,21,76,351.248,300,96.1,10.5,"[40.75138855, -73.9786377]","[40.78459167, -73.96990967]",23
6277,International Investment Group,0,54,12,278.576,58,917,18,"[40.777980799999995, -73.94556427]","[40.73462677, -73.98641968]",35
6278,International Investment Office,0,85,28,327.024,177,574.5,18.5,"[40.74715042, -73.98383331]","[40.72017288, -73.99906921]",48
6279,International Investment Office,0,44,6,460.256,306,934.15,25,"[40.76816177, -73.96286011]","[40.72658920000001, -73.98916626]",54
6280,International Investment Office,0,70,65,96.896,593,754.6,23,"[40.76261902, -73.95702362]","[40.74588013, -73.99058533]",42
6281,International Investment Office,1,55,35,508.704,363,338.05,31.5,"[40.81517029, -73.94747925]","[40.74510574, -73.97876740000001]",58
6282,International Investment Office,1,8,51,363.36,586,783.45,32,"[40.77069855, -73.94874573]","[40.76222229, -73.96617889]",24
6283,International Investment Office,0,51,40,302.8,34,974.7,34,"[40.70835876, -74.01419067]","[40.76947021, -73.96102142]",44
6284,International Investment Office,1,22,27,532.928,771,351.75,10.5,"[40.80495834, -73.93888855]","[40.67211533, -73.95303345]",52
6285,International Investment Office,1,64,100,60.56,398,754.65,25.5,"[40.75741577, -73.98961639]","[40.71509171, -74.01598358]",30
6286,International Investment Office,0,47,83,24.224,548,886.55,38,"[40.674392700000006, -73.95662689]","[40.76848221, -73.95570374]",50
6287,International Investment Office,0,43,53,387.584,694,718.65,1,"[40.7624855, -73.97445679]","[40.7961998, -73.96125793]",32
6288,International Investment Office,1,37,62,448.144,637,354.65,2,"[40.75926971, -73.97112274]","[40.7295723, -73.97856903]",40
6289,International Investment Office,1,89,3,302.8,588,295.65,20,"[40.75040054, -73.99480438]","[40.76163864, -73.96685028]",40
6290,International Investment Office,1,72,86,314.912,508,421.25,38.5,"[40.71276093, -74.00975037]","[0.0, 0.0]",47
6291,International Investment Office,1,53,10,36.336,672,864,35.5,"[40.7521019, -73.97033691]","[40.73796844, -73.99807739]",23
6292,International Investment Office,1,48,70,145.344,230,395.4,10,"[40.60917664, -73.99208832]","[40.77375412, -73.87276459]",54
6293,International Investment Office,0,70,75,193.792,437,58.6,35,"[40.76723862, -73.95349121]","[40.74522018, -74.00592804]",53
6294,International Investment Office,0,35,23,496.592,659,593.45,33.5,"[40.67192841, -73.96269226]","[40.79944611, -73.96843719]",53
6295,International Investment Office,1,21,75,12.112,685,797.25,25,"[40.75072479, -73.89214325]","[40.76573563, -73.95491028]",55
6296,International Investment Office,0,91,97,230.128,239,591.75,44.5,"[40.74988937, -73.98757935]","[40.74325562, -73.97962952]",50
6297,International Investment Office,1,79,27,399.696,237,535.7,41,"[40.78892517, -73.95027161]","[40.75671387, -73.99394226]",48
6298,International Investment Office,1,67,88,423.92,95,524.9,35.5,"[40.83986664, -73.93864441]","[40.72389221, -73.99133301]",33
6299,International Investment Office,0,98,66,157.456,648,566.5,39,"[0.0, 0.0]","[40.76081085, -73.96105194]",33
6300,International Investment Office,1,16,70,121.12,62,962.35,1.5,"[40.75888824, -73.98856354]","[40.74522018, -74.00592804]",20
6301,International Investment Office,1,33,36,109.008,643,282.15,3.5,"[40.75371552, -73.98148346]","[40.79764175, -73.97100067]",52
6302,International Investment Office,1,42,97,242.24,412,283.05,10,"[40.75894165, -73.91217041]","[40.76107025, -73.93569946]",46
6303,International Investment Process,1,11,84,460.256,728,725.9,22,"[40.80475998, -73.95410156]","[40.73876572, -74.00558472]",36
6304,International Investment Process,0,45,49,230.128,242,980.95,34.5,"[40.74510574, -73.9764328]","[40.76163864, -73.96685028]",30
6305,International Investment Process,1,41,44,460.256,523,723.35,11,"[40.72634125, -74.00235748]","[40.75234985, -74.00081635]",48
6306,International Investment Process,0,87,31,496.592,413,540.9,26,"[40.80675507, -73.96468353]","[40.75286102, -73.93270874]",57
6307,International Investment Process,1,59,14,254.352,474,25.15,35,"[40.73404312, -73.98986053]","[40.75758743, -73.96659088]",20
6308,International Investment Process,0,1,36,145.344,495,26.7,33.5,"[40.73498154, -73.99124146]","[40.72017288, -73.99906921]",24
6309,International Investment Process,1,44,34,145.344,62,623.75,38.5,"[40.77203751, -73.95623016]","[40.72864151, -74.00275421]",35
6310,International Investment Process,1,29,17,484.48,437,944.25,13.5,"[40.74300766, -73.89084625]","[40.73796844, -73.99807739]",31
6311,International Investment Process,0,4,54,387.584,246,805.1,25,"[40.86204910000001, -73.90930939]","[40.73469543, -73.99037170000001]",59
6312,International Investment Process,0,17,64,145.344,474,824,40,"[40.77465057, -73.96115875]","[40.75286102, -73.93270874]",22
6313,International Investment Process,0,74,44,218.016,106,427.2,18.5,"[40.72420883, -74.00101471]","[0.0, 0.0]",54
6314,International Investment Process,1,72,9,472.368,688,382.25,35.5,"[40.74381256, -73.98931122]","[40.73099899, -74.00508881]",58
6315,International Investment Process,1,88,53,181.68,869,690.3,33,"[40.80315399, -73.96417999]","[40.75758743, -73.96659088]",29
6316,International Investment Process,1,60,49,60.56,470,614.55,9,"[40.7521019, -73.97033691]","[40.79764175, -73.97100067]",50
6317,International Investment Process,0,70,0,254.352,523,22.85,17,"[40.76462936, -73.91187286]","[40.75093842, -73.99031067]",50
6318,International Investment Process,0,7,12,496.592,136,385.85,18,"[40.71789551, -74.01550293]","[40.72890854, -73.98139191]",57
6319,International Investment Process,1,69,65,496.592,120,615,6,"[40.74118042, -73.98980713]","[40.72014236, -73.98835754]",55
6320,International Investment Process,0,61,74,496.592,122,387.65,8,"[40.71749115, -73.95803833]","[40.76850891, -73.96987152]",60
6321,International Investment Process,1,49,64,520.816,638,840.35,13.5,"[40.7603035, -73.98752594]","[40.74522018, -74.00592804]",21
6322,International Investment Process,0,8,45,242.24,848,16.7,30,"[40.75374222, -73.97485352]","[40.78190994, -73.95574188]",51
6323,International Investment Process,1,95,71,230.128,730,194.3,19.5,"[40.63483429, -73.89250183]","[40.74909973, -73.97567749]",59
6324,International Investment Process,1,73,41,169.568,294,423.15,11,"[40.77203369, -73.94992065]","[40.74156952, -74.00348663]",49
6325,International Investment Process,1,90,18,411.808,784,985.85,33.5,"[40.65415955, -73.88738251]","[40.7522583, -73.97512054]",53
6326,International Investment Process,0,2,95,145.344,419,245.45,40.5,"[40.758514399999996, -73.97726440000001]","[40.73095322, -73.98578644]",59
6327,International Investment Process,1,95,22,363.36,761,719.3,30,"[40.74341202, -73.98616028]","[40.77176285, -73.94954681]",48
6328,International Investment Process,1,59,32,399.696,2,333.85,18.5,"[40.75810623, -73.9728241]","[40.75148392, -73.93431854]",20
6329,International Investment Product,0,36,80,145.344,752,40.45,31.5,"[40.75072479, -73.89214325]","[40.74491882, -74.00614929]",30
6330,International Investment Product,0,52,16,242.24,900,127.6,42.5,"[40.82293320000001, -73.95064545]","[40.73803711, -73.9962616]",28
6331,International Investment Product,1,76,10,205.904,545,273.1,26.5,"[40.74216461, -74.00228882]","[40.74432373, -73.98726654]",25
6332,International Investment Product,0,45,67,254.352,59,576.25,34,"[40.82918167, -73.93882751]","[40.74206924, -74.00806427]",20
6333,International Investment Product,1,21,17,230.128,625,415.05,4,"[40.85139084, -73.94156647]","[40.77373886, -73.98165894]",58
6334,International Investment Product,0,20,3,375.472,412,314.25,8.5,"[40.73880768, -73.99132538]","[40.73696136, -73.99713135]",41
6335,International Investment Product,0,34,97,508.704,263,884.05,35.5,"[40.80737686, -73.96426392]","[40.74240875, -73.98387146]",33
6336,International Investment Product,0,25,60,12.112,516,568.6,26,"[40.72634125, -74.00235748]","[40.75758743, -73.96659088]",20
6337,International Investment Product,0,73,63,448.144,825,152.5,40.5,"[40.71974945, -74.01015472]","[40.77501678, -73.96305847]",32
6338,International Investment Product,0,96,56,121.12,141,139.8,39.5,"[40.74932098, -73.98805237]","[40.729911799999996, -73.98078156]",56
6339,International Investment Product,1,6,48,205.904,1,819.7,3,"[40.76324081, -73.98253632]","[40.80129242, -73.95974731]",42
6340,International Investment Product,0,6,56,375.472,131,188.2,9.5,"[40.74345016, -73.97289276]","[40.78523636, -73.96937561]",45
6341,International Investment Product,1,36,24,84.784,199,461.8,2.5,"[40.73992157, -73.99156189]","[40.73730087, -73.99655151]",23
6342,International Investment Product,0,71,97,387.584,868,337.9,30.5,"[0.0, 0.0]","[40.80104065, -73.96527863]",26
6343,International Investment Product,1,96,50,387.584,215,927.55,26.5,"[40.81517029, -73.94747925]","[40.76694107, -73.95365143]",40
6344,International Investment Product,1,86,56,133.232,30,794.75,3.5,"[40.63483429, -73.89250183]","[40.75162125, -73.99375916]",58
6345,International Investment Product,0,26,8,218.016,118,643,9.5,"[40.77203751, -73.95623016]","[40.74225235, -74.00437927]",57
6346,International Investment Product,0,48,97,36.336,719,730.6,33.5,"[40.74010086, -73.99050140000001]","[40.76848221, -73.95570374]",27
6347,International Investment Product,1,9,16,508.704,372,796.1,15.5,"[40.76314163, -73.91349029999999]","[40.77938843, -73.98110962]",44
6348,International Investment Product,0,22,47,472.368,761,567.95,42.5,"[40.72790527, -73.99918365]","[40.79672623, -73.96103668]",56
6349,International Investment Product,1,40,32,145.344,53,943.05,4.5,"[40.75888824, -73.98856354]","[40.71916962, -74.00882721]",34
6350,International Investment Product,0,39,15,339.136,454,394.45,24.5,"[40.63483429, -73.89250183]","[40.74929047, -73.99230194]",46
6351,International Investment Product,1,31,87,36.336,826,151.95,42.5,"[40.74871063, -73.973526]","[40.74491501, -73.99783325]",55
6352,International Investment Product,1,65,91,339.136,519,354.95,13,"[40.80160522, -73.94350433]","[40.72182083, -74.00428009]",52
6353,International Investment Product,0,91,11,314.912,351,71.55,40,"[40.74564743, -73.98392487]","[40.76723862, -73.98442078]",20
6354,International Investment Product,1,2,66,508.704,857,852.5,20.5,"[40.81517029, -73.94747925]","[40.74456024, -73.97602081]",39
6355,International Investment Product,0,59,63,12.112,493,765.85,34.5,"[40.73423004, -73.98980713]","[40.73526001, -73.99387359999999]",50
6356,International Investment Product,0,34,36,423.92,421,478.25,10,"[40.76393127, -73.97605896]","[40.74522018, -74.00592804]",60
6357,International Investment Product,0,13,91,399.696,559,12.35,37,"[40.73636627, -73.98124695]","[40.72182083, -74.00428009]",49
6358,International Investment Product,0,11,72,314.912,205,937,8.5,"[40.74135971, -73.98916626]","[40.72647095, -73.99420166]",46
6359,International Investment Product,1,54,2,205.904,373,229.55,16.5,"[40.78858185, -73.94892883]","[40.74510574, -73.97876740000001]",48
6360,International Investment Product,1,76,17,24.224,56,18.85,28,"[40.72063446, -73.99514771]","[40.75778579999999, -73.96154785]",43
6361,International Investment Product,0,28,56,278.576,711,326.8,20.5,"[40.79228973, -73.9384613]","[40.72182083, -74.00428009]",25
6362,International Investment Product,1,5,68,72.672,477,433.35,12,"[40.75299072, -73.97921753]","[40.71595764, -74.00466919]",25
6363,International Investment Product,1,70,58,72.672,854,729.9,16.5,"[40.75611877, -73.99060059]","[0.0, 0.0]",59
6364,International Investment Service,0,75,20,60.56,487,174.45,15.5,"[40.75926971, -73.97112274]","[40.75837708, -73.97644806]",20
6365,International Investment Service,0,62,60,12.112,101,690.6,24.5,"[40.74606323, -73.99642181]","[40.75260162, -73.97293091]",55
6366,International Investment Service,0,8,32,423.92,858,958.45,17,"[40.674392700000006, -73.95662689]","[40.73803711, -73.9962616]",28
6367,International Investment Service,0,80,39,157.456,823,60,1,"[40.74216461, -74.00228882]","[40.67845154, -74.00020599]",28
6368,International Investment Service,0,44,83,84.784,189,117.25,9.5,"[40.71667862, -73.94447327]","[40.75979996, -73.97010803]",44
6369,International Investment Service,0,34,76,314.912,647,294.15,16,"[40.79078293, -73.9684906]","[40.74491882, -74.00614929]",34
6370,International Investment Service,0,79,35,24.224,388,429.8,14.5,"[40.74118042, -73.98980713]","[40.76023483, -73.99497223]",54
6371,International Investment Service,1,14,64,266.464,675,346.6,25.5,"[40.72902679, -73.9992218]","[40.72460175, -73.99662781]",33
6372,International Investment Service,0,0,83,484.48,317,117.05,41.5,"[40.77645874, -73.97589111]","[40.75527954, -73.98404694]",52
6373,International Investment Service,0,45,99,121.12,26,210.6,25,"[40.74135971, -73.98916626]","[40.74437332, -73.98094177]",33
6374,International Investment Service,1,61,58,508.704,822,680.75,17,"[40.79618835, -73.93535614]","[40.76217651, -73.97849274]",53
6375,International Investment Service,1,77,30,12.112,478,327.1,26,"[40.72634888, -74.00236511]","[40.75770187, -73.98223877]",24
6376,International Investment Service,1,90,27,351.248,159,732.55,22.5,"[40.80495834, -73.93888855]","[40.7796402, -73.98082733]",54
6377,International Investment Service,0,7,71,84.784,120,973.4,41,"[40.75434875, -73.96577454]","[40.73667526, -73.99741364]",32
6378,International Investment Service,1,52,81,96.896,189,318.75,26,"[40.76579285, -73.98306274]","[40.75032806, -73.97471619]",48
6379,International Investment Service,1,7,95,205.904,163,349.7,7,"[40.76177216, -73.97306061]","[40.68285751, -73.99788666]",34
6380,International Investment Service,1,32,56,532.928,570,702.25,15.5,"[40.74923706, -74.00220490000001]","[40.76081085, -73.96105194]",50
6381,International Investment Service,1,47,24,24.224,346,425.3,8,"[40.758903499999995, -73.97261047]","[40.77116013, -73.96375275]",39
6382,International Investment Service,0,18,43,278.576,779,453.2,41.5,"[40.76173401, -73.97485352]","[40.68672943, -73.99602509]",57
6383,International Investment Service,0,80,2,496.592,573,517.4,6,"[40.78858185, -73.94892883]","[40.78133011, -73.96062469]",22
6384,International Investment Service,0,5,26,484.48,896,448.1,7.5,"[40.76251984, -73.97697449]","[40.7207489, -73.99739838]",40
6385,International Investment Service,1,98,59,121.12,192,637.65,28,"[40.78177261, -73.97206116]","[40.78263092, -73.94828033]",36
6386,International Investment Service,1,86,32,411.808,428,72.7,42.5,"[40.80897141, -73.94455719]","[40.76777267, -73.99586487]",46
6387,International Investment Service,0,96,44,290.688,535,840.9,7.5,"[40.76013565, -73.97584534]","[40.75133133, -73.98229218]",47
6388,International Investment Service,0,38,64,327.024,212,371.1,32.5,"[40.73992157, -73.99156189]","[40.77116013, -73.96375275]",60
6389,International Investment Service,1,26,78,254.352,163,715.4,21.5,"[40.7491684, -73.99124908]","[40.78913879, -73.94641876]",22
6390,International Investment Service,0,65,26,375.472,829,109.2,18,"[0.0, 0.0]","[40.75837708, -73.97644806]",45
6391,International Investment Service,0,66,39,290.688,795,296.3,24.5,"[40.71446991, -74.01582336]","[40.75483322, -73.98426056]",20
6392,International Investment Service,0,65,18,48.448,308,364.1,24.5,"[40.72151566, -73.98368835]","[40.7469101, -73.98074341]",39
6393,International Investment Team,0,72,23,84.784,540,560.1,26.5,"[40.72816086, -73.99926758]","[40.74325562, -73.97962952]",21
6394,International Investment Team,0,68,10,193.792,455,383.15,39.5,"[40.75553894, -73.97975159]","[40.7399559, -74.00505066]",57
6395,International Investment Team,1,10,6,339.136,879,935.35,6,"[40.74521637, -73.98146057]","[40.73803711, -73.9962616]",43
6396,International Investment Team,1,63,100,60.56,651,514.85,25,"[40.76163864, -73.96833038]","[40.77191162, -73.98275757]",55
6397,International Investment Team,0,75,11,157.456,855,407.7,38.5,"[40.73482132, -73.98304749]","[40.70991135, -74.01615143]",36
6398,International Investment Team,1,91,1,339.136,704,734.7,5,"[40.77881241, -73.95994568]","[40.69787216, -73.92774200000001]",35
6399,International Investment Team,1,9,40,448.144,192,803.8,2,"[40.76807022, -73.95682526]","[40.77143478, -73.95632935]",58
6400,International Investment Team,0,71,32,169.568,853,426.65,12,"[40.80160522, -73.94350433]","[40.73963928, -74.00257874]",35
6401,International Investment Team,1,36,11,436.032,631,968.95,13.5,"[40.74606323, -73.99642181]","[40.75014114, -73.97733307]",54
6402,International Investment Team,1,83,38,133.232,396,748.55,13.5,"[40.78335953, -73.95494843]","[40.72014236, -73.98835754]",56
6403,International Investment Team,1,50,22,460.256,647,581.25,4,"[40.80495834, -73.93888855]","[40.76023483, -73.99497223]",53
6404,International Investment Team,1,89,54,60.56,899,561.75,39.5,"[40.7555809, -73.92842102]","[40.730636600000004, -74.00267792]",55
6405,International Investment Team,1,13,15,339.136,456,856.05,34.5,"[40.74932098, -73.98805237]","[40.73439789, -73.98963928]",45
6406,International Investment Team,1,94,15,460.256,433,696.55,40,"[40.72859192, -73.99854279]","[40.76984787, -73.96696472]",20
6407,International Investment Team,0,11,46,60.56,656,190.25,9,"[40.77605057, -73.95585632]","[40.76163864, -73.96685028]",49
6408,International Investment Team,0,27,86,436.032,422,333,43,"[40.72577667, -73.98368073]","[40.75778579999999, -73.96154785]",34
6409,International Investment Team,1,80,91,460.256,449,549.2,33.5,"[40.74715042, -73.98383331]","[40.76701736, -73.95657349]",51
6410,International Investment Team,0,7,7,12.112,796,820.1,40.5,"[40.73180008, -73.98390961]","[40.63657379, -73.89412689]",46
6411,International Investment Team,0,52,65,411.808,445,782.45,37.5,"[40.71102905, -74.00837708]","[40.73526001, -73.99387359999999]",27
6412,International Investment Team,0,52,56,472.368,137,791.7,16.5,"[40.70281219, -73.90223694]","[40.76662064, -73.9536438]",28
6413,International Investment Team,0,57,83,387.584,226,435.05,4.5,"[40.7385025, -73.99201202]","[40.79944611, -73.96843719]",46
